trade_date,gvkey,weights,predicted_return
2018-03-01 00:00:00,1161,0.0008,0.047209854
2018-03-01 00:00:00,1230,0.00367,0.034072604
2018-03-01 00:00:00,1678,0.00391,-0.000415298
2018-03-01 00:00:00,1722,0.02918,0.024121532
2018-03-01 00:00:00,2136,0,0.015373802
2018-03-01 00:00:00,2269,0,0.066374965
2018-03-01 00:00:00,2285,0,0.027477933
2018-03-01 00:00:00,2436,0.0107,0.02328423
2018-03-01 00:00:00,2574,0.00158,0.032422685
2018-03-01 00:00:00,2663,0,0.024041306
2018-03-01 00:00:00,2884,0.00667,0.015373802
2018-03-01 00:00:00,3062,0,0.024943194
2018-03-01 00:00:00,3107,0,0.022440422
2018-03-01 00:00:00,3226,0,0.015373802
2018-03-01 00:00:00,3278,0,0.034056306
2018-03-01 00:00:00,3362,0.00017,0.023445755
2018-03-01 00:00:00,3708,0,0.023024114
2018-03-01 00:00:00,3964,0.00076,0.036594901
2018-03-01 00:00:00,3980,0,0.015373802
2018-03-01 00:00:00,4066,0.00924,0.015373802
2018-03-01 00:00:00,4093,0,0.038692602
2018-03-01 00:00:00,4213,0,0.01251818
2018-03-01 00:00:00,4494,0,0.024995796
2018-03-01 00:00:00,4503,0.01118,0.001887431
2018-03-01 00:00:00,4510,0.00072,0.01251818
2018-03-01 00:00:00,4598,0.0096,0.025173941
2018-03-01 00:00:00,4611,0.00111,0.022898389
2018-03-01 00:00:00,4818,0.00343,0.033685772
2018-03-01 00:00:00,4839,0.00289,0.025524987
2018-03-01 00:00:00,4988,0,0.015373802
2018-03-01 00:00:00,5071,0,0.025222241
2018-03-01 00:00:00,5742,0,0.044685078
2018-03-01 00:00:00,5786,0.00137,0.029571521
2018-03-01 00:00:00,5878,0.00078,0.023664517
2018-03-01 00:00:00,6008,0.0011,0.037246176
2018-03-01 00:00:00,6078,0,0.01251818
2018-03-01 00:00:00,6104,0,0.01251818
2018-03-01 00:00:00,6136,0.00401,0.015373802
2018-03-01 00:00:00,6653,0.01143,0.038518338
2018-03-01 00:00:00,6781,0.02487,0.03863193
2018-03-01 00:00:00,6821,0.00784,0.02163052
2018-03-01 00:00:00,6831,0,0.032911357
