trade_date,gvkey,weights,predicted_return
2018-03-01 00:00:00,1161,0.00258,0.047209854
2018-03-01 00:00:00,1230,0.00438,0.034072604
2018-03-01 00:00:00,1678,0.0051,-0.000415298
2018-03-01 00:00:00,1722,0.03351,0.024121532
2018-03-01 00:00:00,2136,0.00032,0.015373802
2018-03-01 00:00:00,2269,0,0.066374965
2018-03-01 00:00:00,2285,0.00065,0.027477933
2018-03-01 00:00:00,2436,0.0041,0.02328423
2018-03-01 00:00:00,2574,0.00536,0.032422685
2018-03-01 00:00:00,2663,0,0.024041306
2018-03-01 00:00:00,2884,0.00548,0.015373802
2018-03-01 00:00:00,3062,0,0.024943194
2018-03-01 00:00:00,3107,0,0.022440422
2018-03-01 00:00:00,3226,0,0.015373802
2018-03-01 00:00:00,3278,0,0.034056306
2018-03-01 00:00:00,3362,0.00049,0.023445755
2018-03-01 00:00:00,3708,0,0.023024114
2018-03-01 00:00:00,3964,0.00028,0.036594901
2018-03-01 00:00:00,3980,0,0.015373802
2018-03-01 00:00:00,4066,0.00367,0.015373802
2018-03-01 00:00:00,4093,0.0011,0.038692602
2018-03-01 00:00:00,4213,0.00184,0.01251818
2018-03-01 00:00:00,4494,0,0.024995796
2018-03-01 00:00:00,4503,0.0128,0.001887431
2018-03-01 00:00:00,4510,0.0049,0.01251818
2018-03-01 00:00:00,4598,0.00983,0.025173941
2018-03-01 00:00:00,4611,0,0.022898389
2018-03-01 00:00:00,4818,0.00261,0.033685772
2018-03-01 00:00:00,4839,0,0.025524987
2018-03-01 00:00:00,4988,0,0.015373802
2018-03-01 00:00:00,5071,0,0.025222241
2018-03-01 00:00:00,5742,0.00127,0.044685078
2018-03-01 00:00:00,5786,0.00164,0.029571521
2018-03-01 00:00:00,5878,0,0.023664517
2018-03-01 00:00:00,6008,0.00698,0.037246176
2018-03-01 00:00:00,6078,0,0.01251818
2018-03-01 00:00:00,6104,0,0.01251818
2018-03-01 00:00:00,6136,0.00419,0.015373802
2018-03-01 00:00:00,6653,0.01106,0.038518338
2018-03-01 00:00:00,6781,0.02195,0.03863193
2018-03-01 00:00:00,6821,0.00374,0.02163052
2018-03-01 00:00:00,6831,0.00255,0.032911357
2018-03-01 00:00:00,6994,0,0.028606472
2018-03-01 00:00:00,7065,0,0.029601956
2018-03-01 00:00:00,7085,0.0003,0.026365539
2018-03-01 00:00:00,7146,0,0.025515957
2018-03-01 00:00:00,7163,0,0.045715416
2018-03-01 00:00:00,7260,0.00778,0.015373802
2018-03-01 00:00:00,7343,0.00466,0.049514225
2018-03-01 00:00:00,7637,0.00415,0.028967198
2018-03-01 00:00:00,7866,0,0.015373802
2018-03-01 00:00:00,7875,0.00448,0.025987193
