asset_id,symbol,price,target_weight,target_qty,current_qty,delta,action,planned_qty,adjusted_weight
1045,AAL,13.89,0.006861959022535577,49.49201530595801,51.840434087,-2.3484187810419854,SELL,2.3484187810419854,0.00032582232918321576
1878,ADSK,314.56,0.006861959022535577,2.1854148416828485,2.205409721,-0.019994879317151604,SELL,0.019994879317151604,6.27977708548151e-05
2086,BAX,24.71,0.006861959022535577,27.820481286918525,0.0,27.820481286918525,BUY,27.820481286918525,0.0068618403124716155
2101,AIT,263.08,0.006861959022535577,2.613061017940386,3.0,-0.38693898205961386,SELL,0.38693898205961386,0.0010241490728365103
2269,HRB,50.37,0.002524373551955822,5.02077702490933,6.0,-0.9792229750906696,SELL,0.9792229750906696,0.0004927297246308963
2312,RHI,37.32,0.006861959022535577,18.42025971596347,20.0,-1.5797402840365287,SELL,1.5797402840365287,0.000588585363224295
3336,DXC,14.43,0.002524373551955822,17.52574766075419,17.307573798,0.21817386275419182,BUY,0.21817386275419182,3.1688358875206e-05
3362,CAG,19.135,0.006861959022535577,35.92600431668444,36.090966452,-0.16496213531556236,SELL,0.16496213531556236,3.056041061309479e-05
3708,WEN,10.62,0.002524373551955822,23.81323340345414,24.187646762,-0.37441335854585844,SELL,0.37441335854585844,3.9222653992387844e-05
3863,DLX,19.66,0.006861959022535577,34.966637466925576,35.124746128,-0.15810866107442223,SELL,0.15810866107442223,3.139888542740755e-05
3964,DDS,532.345,0.006861959022535577,1.2913507079051307,1.249315887,0.042034820905130665,BUY,0.042034820905130665,0.00021255136905968047
4430,EQT,51.86,0.006861959022535577,13.255767308132603,13.212958309,0.042808999132603276,BUY,0.042808999132603276,2.0706335176314283e-05
4723,USB,48.88,0.006861959022535577,14.063913514724975,14.011815069,0.05209844572497424,BUY,0.05209844572497424,2.4395624359290458e-05
4737,FHN,22.61,0.006861959022535577,30.40442691728248,30.180749143,0.22367777428247848,BUY,0.22367777428247848,4.965168358755424e-05
5073,GM,58.62,0.006861959022535577,11.72712542817736,11.765568529,-0.03844310082264002,SELL,0.03844310082264002,2.3405425530959184e-05
5543,WELL,168.32,0.006861959022535577,4.084149789684867,4.096550664,-0.012400874315132704,SELL,0.012400874315132704,1.6801438183943408e-05
5568,KHC,27.98,0.006861959022535577,24.569124110069936,25.001060411,-0.4319363009300652,SELL,0.4319363009300652,0.00012009554620145954
5786,HBAN,17.83,0.006861959022535577,38.55547350531446,38.381024903,0.17444860231446313,BUY,0.17444860231446313,3.0255964400755026e-05
6008,INTC,24.38,0.006861959022535577,28.197050557824316,28.0,0.19705055782431558,BUY,0.19705055782431558,4.867146660225051e-05
